idFrame,Frame,Frame Description,Rank,Cenário Sugerido,Cenário Descrição,Score de Similaridade,Justificativa
4,Percepção,"Um #Perceptor percebe um #Fenômeno. O frame de Percepção geral é um pano de fundo herdado de todos os frames que têm a ver com algum ser senciente respondendo a mudanças no ambiente, independentemente das modalidades sensoriais.  Os frames herdados podem especificar as modalidades (ver, ouvir, provar, cheirar), ou podem enfatizar as experiências ou atos do perceptor, ou as propriedades dos fenômenos percebidos (chocalho, batida). ",2,Cenário_de_sujeição,"Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele.",0.5459,"Frame 'Percepção' apresenta maior similaridade semântica com o cenário 'Cenário_de_sujeição', cuja descrição é: Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele."
4,Percepção,"Um #Perceptor percebe um #Fenômeno. O frame de Percepção geral é um pano de fundo herdado de todos os frames que têm a ver com algum ser senciente respondendo a mudanças no ambiente, independentemente das modalidades sensoriais.  Os frames herdados podem especificar as modalidades (ver, ouvir, provar, cheirar), ou podem enfatizar as experiências ou atos do perceptor, ou as propriedades dos fenômenos percebidos (chocalho, batida). ",3,Cenário_de_criação_artística,"Neste cenário, eventos, processos ou atividades no domínio de Cognição e Comunicação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação.",0.5315,"Frame 'Percepção' apresenta maior similaridade semântica com o cenário 'Cenário_de_criação_artística', cuja descrição é: Neste cenário, eventos, processos ou atividades no domínio de Cognição e Comunicação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
5,Reciprocidade,"Esse frame caracteriza situações com #Protagonistas em relações que podem ser vistas simetricamente. Quando os #Protagonistas são igualmente proeminentes, cada um servindo igualmente para identificar os outros, eles são expressos juntos como #Protagonistas. Quando um dos #Protagonistas serve para definir o outro (mais ou menos como um Fundo), ele é chamado de #Protagonista_2 e o outro é chamado de #Protagonista_1 (ou seja, a Figura).

Esse frame existe como pano de fundo para vários frames lexicais, incluindo Conversa, Similaridade, Trocar e Estar_anexado. Os frames mais básicos herdados deste são estados simétricos. (Por exemplo, Estar_anexado é simétrico, pois se A está anexado a B, B está anexado a A.)

Outros frames que exibem reciprocidade ou têm uma relação causativa / inativa com esse frame estático (por exemplo, Tornar-se_anexado) ou são resumos do tipo estático de vários eventos do mesmo tipo. Esse segundo tipo, no qual os eventos são realizados reciprocamente, com dois participantes iguais agindo um contra o outro, pode ser exemplificado pelo frame de Conversa, no qual duas pessoas são efetivamente falantes e destinatário em um ato conjunto de comunicação.

A característica básica desse frame, herdada pelos filhos, é a equivalência de #Protagonista_1 + #Protagonista_2 a #Protagonistas e a equivalência adicional (figura do módulo / perfil do fundo) da seguinte forma:

#Protagonista_1 em Relação com #Protagonista_2.
#Protagonista_2 em Relação com #Protagonista_1.
Relação entre #Protagonistas.",1,Cenário_ação_de_tentativa,"Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações.",0.6108,"Frame 'Reciprocidade' apresenta maior similaridade semântica com o cenário 'Cenário_ação_de_tentativa', cuja descrição é: Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações."
5,Reciprocidade,"Esse frame caracteriza situações com #Protagonistas em relações que podem ser vistas simetricamente. Quando os #Protagonistas são igualmente proeminentes, cada um servindo igualmente para identificar os outros, eles são expressos juntos como #Protagonistas. Quando um dos #Protagonistas serve para definir o outro (mais ou menos como um Fundo), ele é chamado de #Protagonista_2 e o outro é chamado de #Protagonista_1 (ou seja, a Figura).

Esse frame existe como pano de fundo para vários frames lexicais, incluindo Conversa, Similaridade, Trocar e Estar_anexado. Os frames mais básicos herdados deste são estados simétricos. (Por exemplo, Estar_anexado é simétrico, pois se A está anexado a B, B está anexado a A.)

Outros frames que exibem reciprocidade ou têm uma relação causativa / inativa com esse frame estático (por exemplo, Tornar-se_anexado) ou são resumos do tipo estático de vários eventos do mesmo tipo. Esse segundo tipo, no qual os eventos são realizados reciprocamente, com dois participantes iguais agindo um contra o outro, pode ser exemplificado pelo frame de Conversa, no qual duas pessoas são efetivamente falantes e destinatário em um ato conjunto de comunicação.

A característica básica desse frame, herdada pelos filhos, é a equivalência de #Protagonista_1 + #Protagonista_2 a #Protagonistas e a equivalência adicional (figura do módulo / perfil do fundo) da seguinte forma:

#Protagonista_1 em Relação com #Protagonista_2.
#Protagonista_2 em Relação com #Protagonista_1.
Relação entre #Protagonistas.",2,Cenário_de_resposta,Um #Gatilho provoca uma #Resposta de alguma #Entidade_responsiva ou um #Agente.,0.5633,"Frame 'Reciprocidade' apresenta maior similaridade semântica com o cenário 'Cenário_de_resposta', cuja descrição é: Um #Gatilho provoca uma #Resposta de alguma #Entidade_responsiva ou um #Agente."
5,Reciprocidade,"Esse frame caracteriza situações com #Protagonistas em relações que podem ser vistas simetricamente. Quando os #Protagonistas são igualmente proeminentes, cada um servindo igualmente para identificar os outros, eles são expressos juntos como #Protagonistas. Quando um dos #Protagonistas serve para definir o outro (mais ou menos como um Fundo), ele é chamado de #Protagonista_2 e o outro é chamado de #Protagonista_1 (ou seja, a Figura).

Esse frame existe como pano de fundo para vários frames lexicais, incluindo Conversa, Similaridade, Trocar e Estar_anexado. Os frames mais básicos herdados deste são estados simétricos. (Por exemplo, Estar_anexado é simétrico, pois se A está anexado a B, B está anexado a A.)

Outros frames que exibem reciprocidade ou têm uma relação causativa / inativa com esse frame estático (por exemplo, Tornar-se_anexado) ou são resumos do tipo estático de vários eventos do mesmo tipo. Esse segundo tipo, no qual os eventos são realizados reciprocamente, com dois participantes iguais agindo um contra o outro, pode ser exemplificado pelo frame de Conversa, no qual duas pessoas são efetivamente falantes e destinatário em um ato conjunto de comunicação.

A característica básica desse frame, herdada pelos filhos, é a equivalência de #Protagonista_1 + #Protagonista_2 a #Protagonistas e a equivalência adicional (figura do módulo / perfil do fundo) da seguinte forma:

#Protagonista_1 em Relação com #Protagonista_2.
#Protagonista_2 em Relação com #Protagonista_1.
Relação entre #Protagonistas.",3,Cenário_de_sujeição,"Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele.",0.5625,"Frame 'Reciprocidade' apresenta maior similaridade semântica com o cenário 'Cenário_de_sujeição', cuja descrição é: Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele."
6,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um #Agente ou #Causa que afeta um #Paciente. Esse frame é herdado por muitos frames de nível inferior.",1,Cenário_ação_de_tentativa,"Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações.",0.7381,"Frame 'Ação_transitiva' apresenta maior similaridade semântica com o cenário 'Cenário_ação_de_tentativa', cuja descrição é: Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações."
6,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um #Agente ou #Causa que afeta um #Paciente. Esse frame é herdado por muitos frames de nível inferior.",2,Cenário_de_sujeição,"Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele.",0.6834,"Frame 'Ação_transitiva' apresenta maior similaridade semântica com o cenário 'Cenário_de_sujeição', cuja descrição é: Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele."
6,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um #Agente ou #Causa que afeta um #Paciente. Esse frame é herdado por muitos frames de nível inferior.",3,Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança.",0.6601,"Frame 'Ação_transitiva' apresenta maior similaridade semântica com o cenário 'Cenário_de_colocação', cuja descrição é: Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
7,Duplicação,"Este frame envolve um #Criador fazendo uma duplicata, a #Cópia, de alguma entidade #Original. Uma #Fonte, o local do #Original e o #Alvo, o local da #Cópia, podem ser expressos.",1,Cenário_de_fragmentação,"Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2.",0.5831,"Frame 'Duplicação' apresenta maior similaridade semântica com o cenário 'Cenário_de_fragmentação', cuja descrição é: Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2."
7,Duplicação,"Este frame envolve um #Criador fazendo uma duplicata, a #Cópia, de alguma entidade #Original. Uma #Fonte, o local do #Original e o #Alvo, o local da #Cópia, podem ser expressos.",2,Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança.",0.5661,"Frame 'Duplicação' apresenta maior similaridade semântica com o cenário 'Cenário_de_colocação', cuja descrição é: Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
7,Duplicação,"Este frame envolve um #Criador fazendo uma duplicata, a #Cópia, de alguma entidade #Original. Uma #Fonte, o local do #Original e o #Alvo, o local da #Cópia, podem ser expressos.",3,Cenário_locativo,"Uma #Figura está localizada em relação a um #Fundo, cuja localização é (geralmente) melhor conhecida. Isso é feito identificando-se a #Figura como dentro de uma #Região_perfilada - uma forma definida por um esquema de imagem, localizada em um #Fundo e dimensionada por um contexto. Alternativamente, um grupo de #Figuras é descrito dentro de uma #Região_perfilada simétrica localizada simultaneamente em relação a cada uma das #Figuras.",0.5405,"Frame 'Duplicação' apresenta maior similaridade semântica com o cenário 'Cenário_locativo', cuja descrição é: Uma #Figura está localizada em relação a um #Fundo, cuja localização é (geralmente) melhor conhecida. Isso é feito identificando-se a #Figura como dentro de uma #Região_perfilada - uma forma definida por um esquema de imagem, localizada em um #Fundo e dimensionada por um contexto. Alternativamente, um grupo de #Figuras é descrito dentro de uma #Região_perfilada simétrica localizada simultaneamente em relação a cada uma das #Figuras."
8,Fingir,Um #Agente age de tal forma a dar a impressão errada aos observadores que detém um #Estado_de_coisas particular.,1,Cenário_de_resposta,Um #Gatilho provoca uma #Resposta de alguma #Entidade_responsiva ou um #Agente.,0.703,"Frame 'Fingir' apresenta maior similaridade semântica com o cenário 'Cenário_de_resposta', cuja descrição é: Um #Gatilho provoca uma #Resposta de alguma #Entidade_responsiva ou um #Agente."
8,Fingir,Um #Agente age de tal forma a dar a impressão errada aos observadores que detém um #Estado_de_coisas particular.,2,Cenário_visita_chegada,Um #Agente chega a uma localização que deve ajudá-lo a realizar a #Finalidade. Esta situação é um ponto de vista neutro.,0.7002,"Frame 'Fingir' apresenta maior similaridade semântica com o cenário 'Cenário_visita_chegada', cuja descrição é: Um #Agente chega a uma localização que deve ajudá-lo a realizar a #Finalidade. Esta situação é um ponto de vista neutro."
8,Fingir,Um #Agente age de tal forma a dar a impressão errada aos observadores que detém um #Estado_de_coisas particular.,3,Cenário_visita_estadia,"Um #Agente combina a localização com a #Entidade para satisfazer alguma #Finalidade. Geralmente, a #Finalidade é social ou  de entretenimento. Esta cena é um ponto de vista neutro.",0.6313,"Frame 'Fingir' apresenta maior similaridade semântica com o cenário 'Cenário_visita_estadia', cuja descrição é: Um #Agente combina a localização com a #Entidade para satisfazer alguma #Finalidade. Geralmente, a #Finalidade é social ou  de entretenimento. Esta cena é um ponto de vista neutro."
9,Causar_fundir,"Um #Agente junta #Partes para formar um #Todo.  (As #Partes podem também ser codificadas como #Parte_1 e #Parte_2.)  Há uma relação de simetria entre os componentes que se submetem ao processo, e depois as #Partes são consumidas e não são entidades distintas que são facilmente discerníveis ou separáveis no #Todo.",1,Cenário_de_fragmentação,"Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2.",0.7567,"Frame 'Causar_fundir' apresenta maior similaridade semântica com o cenário 'Cenário_de_fragmentação', cuja descrição é: Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2."
9,Causar_fundir,"Um #Agente junta #Partes para formar um #Todo.  (As #Partes podem também ser codificadas como #Parte_1 e #Parte_2.)  Há uma relação de simetria entre os componentes que se submetem ao processo, e depois as #Partes são consumidas e não são entidades distintas que são facilmente discerníveis ou separáveis no #Todo.",2,Cenário_de_inclusão,Uma #Parte é um subconjunto de uma coleção de itens que compõem um #Todo ou uma subparte de um #Todo singular. Esse frame abrange tanto as relações de super / subconjunto quanto as relações entre parte e todo.,0.7457,"Frame 'Causar_fundir' apresenta maior similaridade semântica com o cenário 'Cenário_de_inclusão', cuja descrição é: Uma #Parte é um subconjunto de uma coleção de itens que compõem um #Todo ou uma subparte de um #Todo singular. Esse frame abrange tanto as relações de super / subconjunto quanto as relações entre parte e todo."
9,Causar_fundir,"Um #Agente junta #Partes para formar um #Todo.  (As #Partes podem também ser codificadas como #Parte_1 e #Parte_2.)  Há uma relação de simetria entre os componentes que se submetem ao processo, e depois as #Partes são consumidas e não são entidades distintas que são facilmente discerníveis ou separáveis no #Todo.",3,Cenário_locativo,"Uma #Figura está localizada em relação a um #Fundo, cuja localização é (geralmente) melhor conhecida. Isso é feito identificando-se a #Figura como dentro de uma #Região_perfilada - uma forma definida por um esquema de imagem, localizada em um #Fundo e dimensionada por um contexto. Alternativamente, um grupo de #Figuras é descrito dentro de uma #Região_perfilada simétrica localizada simultaneamente em relação a cada uma das #Figuras.",0.6054,"Frame 'Causar_fundir' apresenta maior similaridade semântica com o cenário 'Cenário_locativo', cuja descrição é: Uma #Figura está localizada em relação a um #Fundo, cuja localização é (geralmente) melhor conhecida. Isso é feito identificando-se a #Figura como dentro de uma #Região_perfilada - uma forma definida por um esquema de imagem, localizada em um #Fundo e dimensionada por um contexto. Alternativamente, um grupo de #Figuras é descrito dentro de uma #Região_perfilada simétrica localizada simultaneamente em relação a cada uma das #Figuras."
10,Separar,"Essas palavras se referem a separar um #Todo em #Partes, ou separar uma parte da outra. A separação é feita por um #Agente ou #Causa e pode ser feita com base em algum #Critério.",1,Cenário_de_fragmentação,"Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2.",0.6616,"Frame 'Separar' apresenta maior similaridade semântica com o cenário 'Cenário_de_fragmentação', cuja descrição é: Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2."
10,Separar,"Essas palavras se referem a separar um #Todo em #Partes, ou separar uma parte da outra. A separação é feita por um #Agente ou #Causa e pode ser feita com base em algum #Critério.",2,Cenário_de_inclusão,Uma #Parte é um subconjunto de uma coleção de itens que compõem um #Todo ou uma subparte de um #Todo singular. Esse frame abrange tanto as relações de super / subconjunto quanto as relações entre parte e todo.,0.6527,"Frame 'Separar' apresenta maior similaridade semântica com o cenário 'Cenário_de_inclusão', cuja descrição é: Uma #Parte é um subconjunto de uma coleção de itens que compõem um #Todo ou uma subparte de um #Todo singular. Esse frame abrange tanto as relações de super / subconjunto quanto as relações entre parte e todo."
10,Separar,"Essas palavras se referem a separar um #Todo em #Partes, ou separar uma parte da outra. A separação é feita por um #Agente ou #Causa e pode ser feita com base em algum #Critério.",3,Cenário_de_duração,"Um #Evento ou um #Período tem uma #Duração particular. A #Duração pode ser caracterizada de alguns modos diferentes:  Como uma medida direta de #Duração, um #Grau de desvio de uma #Duração esperada, ou #Contagem de #Unidades de uma duração padrão conhecida.",0.57,"Frame 'Separar' apresenta maior similaridade semântica com o cenário 'Cenário_de_duração', cuja descrição é: Um #Evento ou um #Período tem uma #Duração particular. A #Duração pode ser caracterizada de alguns modos diferentes:  Como uma medida direta de #Duração, um #Grau de desvio de uma #Duração esperada, ou #Contagem de #Unidades de uma duração padrão conhecida."
11,Movimento_corporal,"Este frame contém palavras para movimentos ou ações que um #Agente realiza usando alguma #Parte_do_corpo. A maioria das palavras que evocam esse frame tem um movimento específico de uma parte específica do corpo associada a elas, mas algumas são mais gerais (por exemplo, movimento.v). Um número de palavras neste frame ocorre como misturas com Comunicação, em que a ação tem um #Destinatário. Um número de palavras neste frame envolve um tipo específico de movimento. Ele contém os elementos de frame #Origem, #Trajetória, #Alvo e #Área, que se originam no frame de movimento.",1,Cenário_ação_de_tentativa,"Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações.",0.6705,"Frame 'Movimento_corporal' apresenta maior similaridade semântica com o cenário 'Cenário_ação_de_tentativa', cuja descrição é: Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações."
11,Movimento_corporal,"Este frame contém palavras para movimentos ou ações que um #Agente realiza usando alguma #Parte_do_corpo. A maioria das palavras que evocam esse frame tem um movimento específico de uma parte específica do corpo associada a elas, mas algumas são mais gerais (por exemplo, movimento.v). Um número de palavras neste frame ocorre como misturas com Comunicação, em que a ação tem um #Destinatário. Um número de palavras neste frame envolve um tipo específico de movimento. Ele contém os elementos de frame #Origem, #Trajetória, #Alvo e #Área, que se originam no frame de movimento.",2,Cenário_de_movimento,"Esse frame une as várias partes do movimento, da partida e a viagem, até a chegada. ",0.629,"Frame 'Movimento_corporal' apresenta maior similaridade semântica com o cenário 'Cenário_de_movimento', cuja descrição é: Esse frame une as várias partes do movimento, da partida e a viagem, até a chegada. "
11,Movimento_corporal,"Este frame contém palavras para movimentos ou ações que um #Agente realiza usando alguma #Parte_do_corpo. A maioria das palavras que evocam esse frame tem um movimento específico de uma parte específica do corpo associada a elas, mas algumas são mais gerais (por exemplo, movimento.v). Um número de palavras neste frame ocorre como misturas com Comunicação, em que a ação tem um #Destinatário. Um número de palavras neste frame envolve um tipo específico de movimento. Ele contém os elementos de frame #Origem, #Trajetória, #Alvo e #Área, que se originam no frame de movimento.",3,Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança.",0.6056,"Frame 'Movimento_corporal' apresenta maior similaridade semântica com o cenário 'Cenário_de_colocação', cuja descrição é: Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
