idFrame,name,description
25,Escrutínio,"Este frame diz respeito a um #Pensador (uma pessoa ou outro ser inteligente) prestando muita atenção em algo, o #Fundo, a fim de descobrir e anotar suas características salientes. O #Pensador pode estar interessado em uma característica ou entidade em particular, o #Fenômeno, que pertence ao #Fundo ou está contido no #Fundo (ou para garantir que tal propriedade da entidade não esteja presente). Algumas palavras neste frame permitem expressões alternativas do #Fundo e do #Fenômeno."
26,Sinceridade,"Esse frame contém adjetivos e substantivos que descrevem a verdade ou a sinceridade da comunicação. Essas palavras, analogamente às palavras de avaliação de comportamento, podem ser aplicadas a #Falante ou à #Mensagem que elas produzem."
27,Comprometimento,Um #Falante se compromete com um #Destinatário para realizar alguma ação futura. Esta pode ser uma ação desejável (como uma promessa) ou não desejável (como uma ameaça) para o #Destinatário.
28,Discussão,"Duas (ou mais) pessoas (os #Interlocutores, também codificáveis como #Interlocutor_1 e #Interlocutor_2) conversam entre si. Nenhuma pessoa é interpretada como apenas um falante ou apenas um destinatário. Pelo contrário, entende-se que ambos (ou todos) os participantes falam e ouvem - o processo é entendido como simétrico ou recíproco. Esse frame é diferente do frame Conversar em que os #Interlocutores têm uma questão específica que eles estão tentando decidir ou entender."
29,Codificar,"Uma pessoa (o #Falante) expressa a #Mensagem ou conteúdo mental, amplamente compreendido, de uma #Maneira particular. O conteúdo pode ser emocional."
30,Gesto,"As palavras neste frame têm a ver com comunicação não-verbal. O tópico normalmente não é expresso com estas palavras. Isso parece estar relacionado à ausência de um código verbal nos casos de comunicação gestual. O tópico pode ser visto como uma caracterização parcial de uma #Mensagem, mas essa caracterização parcial é difícil ou irrelevante na ausência de um código verbal."
31,Ouvir_dizer,"O #Ouvinte recebe um #Mensagem ou comunicação sobre um determinado #Tópico. As palavras nesse frame denotam eventos de comunicação verbal, mas expressam o #Ouvinte em vez do #Falante como um Argumento Externo."
32,Maneira_de_comunicação,As palavras neste frame descrevem #Maneiras da comunicação verbal. Todas elas podem ocorrer com citações.
33,Sons_de_comunicação,"Este frame contém palavras para tipos de som que podem ser usados para caracterizar a comunicação verbal. Ele herda de Comunicação (possivelmente mais especificamente de Maneira_de_comunicação) e da estrutura de Emissão_de_som (que simplesmente caracteriza sons básicos de qualquer fonte, incluindo aqueles feitos por animais e objetos inanimados). Como tal, envolve um #Falante que produz som e, assim, comunica uma #Mensagem a um #Destinatário."
34,Questionar,As palavras neste frame têm a ver com um #Falante questionando um #Destinatário com uma pergunta que solicita uma resposta (em oposição a fazer uma solicitação que exige uma ação por parte do #Destinatário).
35,Pedir,"Neste frame, um #Falante pede alguma coisa a um #Destinatário ou que ele realize alguma ação.

<ex><fex name=""Speaker"">O cliente</fex> <t>exigiu</t> <fex name=""Message"">o reembolso</fex>.</ex>
<ex><fex name=""Speaker"">Eu</fex> <t>implorei</t> <fex name=""Addressee"">aos meus pais</fex> <fex name=""Message"">para eles me deixarem ficar acordado até tarde.</fex></ex>"
36,Comunicação_resposta,"Este frame lida com um #Falante comunicando uma resposta, uma #Mensagem, para alguma comunicação ou ação anterior, o #Ativador."
37,Declaração,"Este frame contém verbos e nomes que comunicam o ato de um #Falante destinar uma #Mensagem a algum #Destinatário, usando a linguagem."
38,Volubilidade,"Essas palavras descrevem o tamanho da mensagem pela qual o #Falante é julgado por um dado  #Juiz (normalmente não expresso), seja em uma ocasião específica, em #Tópico, ou em geral. Assim como em outros frames de comunicação, o #Meio também pode ser expresso."
40,Emoção_direcionada,Os adjetivos e substantivos neste frame descrevem um #Experienciador que está sentindo ou experimentando uma resposta emocional particular a um #Estímulo ou a um #Tópico. Também pode haver #Circunstâncias sob as quais a resposta ocorre ou uma #Explicação que leva o #Estímulo a evocar a resposta particular no #Experienciador.
41,Estimular_emoção,Algum fenômeno (o #Estímulo) provoca uma emoção particular em um #Experienciador.
42,Emoção_com_foco_no_experienciador,"As palavras neste frame descrevem as emoções de um #Experienciador em relação a algum #Conteúdo. Uma #Explicação para a emoção também pode ser expressa. Apesar de o  #Conteúdo poder se referir um estado de coisas real e atual, frequentemente ele se refere a uma situação geral que causa a emoção."
43,Calor_da_emoção,Este frame contém verbos que descrevem experiências emocionais e participam da alternância locativa.
44,Cura,"Este frame trata de um #Curador tratando e curando uma #Aflição (as lesões, doenças ou dor) do #Paciente, algumas vezes mencionando também o uso de um #Tratamento ou #Medicação em particular. Esse frame difere de Intervenção_médica, pois este frame lida apenas com casos em que o #Paciente é curado da #Aflição, não apenas tratado para a #Aflição."
45,Recuperação,Estas palavras descrevem a recuperação ou cura de um #Paciente de uma #Aflição sem referência à influência de qualquer Tratamento ou Curador (veja o Frame Cura).
46,Reação_de_saúde,"Um #Protagonista é sensível a um #Desencadeador, que tem o potencial de causar algum tipo de reação no #Protagonista.
"
47,Morte,As palavras neste frame descrevem a morte de um #Protagonista. A #Causa da morte também pode ser expressa.
48,Chegar,"Um #Tema se move na direção de um #Alvo. O #Alvo pode ser expresso ou pode ser entendido a partir do contexto, mas é sempre implícito no próprio verbo."
49,Causar_movimento,"Um #Agente faz com que um #Tema mova-se de uma #Fonte, ao longo de uma #Trajetória para um #Alvo. Embora diferentes membros do frame tenham diferentes graus de perfilamento da #Trajetória, o movimento pode sempre ser descrito em relação à #Fonte, à #Trajetória e/ou o #Alvo. Em contraste com a colocação, o estado final do movimento não é universalmente perfilado, embora instâncias individuais de uma UL possam enfatizar o #Alvo. Algumas palavras neste frame não enfatizam a #Maneira / o #Meio de causar o movimento. Para muitas das outras, o #Agente tem controle do #Tema apenas na #Fonte do movimento e não experimenta o movimento geral. Para outras, o #Agente tem controle do #Tema durante todo o movimento. Para estas palavras, o #Tema é resistente ao movimento devido a alguma fricção com a superfície ao longo da qual se movem. (Eles diferem, portanto, das palavras do frame Trazer, na medida em que são suportados por essa superfície, e não por um Transportador.)"
50,Cotema,"Este frame contém palavras que indicam necessariamente o movimento de dois objetos distintos. O #Tema é tipicamente animado e é expresso da mesma maneira que um Auto-movedor é expresso no frame Auto_movimento. O #Cotema pode ou não ser animado. A #Fonte, #Trajetória, #Alvo e os outros elementos de frame comuns às palavras de movimento também ocorrem regularmente com as palavras nesse frame."
51,Partir,"Um objeto (o #Tema) sai de uma #Fonte. A #Fonte pode ser expressada ou pode ser entendida a partir do contexto, mas sua existência é sempre implícita na própria palavra do evento de partir."
52,Esvaziar,"Estas são palavras relacionadas ao esvaziamento de recipientes e áreas de limpeza de algumas substâncias ou itens. A área ou recipiente pode aparecer como o objeto direto dos verbos e é designados como a #Fonte por ser a #Fonte de movimento do #Tema. Correspondendo ao seu status de argumento nuclear, ela também é afetada de uma forma crucial, ao contrário da #Fonte em outros frames. Algumas palavras nesse frame, como 'vazio', também podem acontecer como expressões da #Trajetória ou do #Alvo."
53,Preencher,"Estas são palavras relacionadas a preencher recipientes e cobrir áreas com alguma coisa, coisas ou substância, o #Tema. A área ou o recipiente podem aparecer como o objeto direto com todos esses verbos e é designada como #Alvo porque é o alvo do movimento do #Tema. Correspondendo ao seu status de argumento nuclear, ele também é afetado de forma crucial, ao contrário dos alvos em outros frames."
54,Barulho_de_Movimento,"Este frame pertence aos verbos de ruído usados para caracterizar movimento. Os verbos #Barulho_de_Movimento basicamente têm as mesmas expressões #Fonte, #Caminho e #Objetivo que outros tipos de verbos de Movimento."
55,Forma_do_caminho,"As palavras neste frame descrevem a moção ""fictiva"" de uma #Estrada estacionária.    Alguns dos alvos criam a cena primariamente em termos de #Forma_do_caminho: Algumas das palavras neste frame implicam em uma #Fonte ou #Alvo que é expressada por um objeto direto. Outros membros  deste frame se referem a uma #Direção  outros ainda indicam um #Caminho que requer a menção de um ponto de referência;"
56,Colocar,"Geralmente sem movimento geral (translacional), um #Agente coloca um #Tema em um local, o #Alvo, que é perfilado. Nesse frame, o #Tema está sob o controle do # Agente / #Causa no momento de sua chegada ao #Alvo."
57,Remover,"Um #Agente causa com que um #Tema se mova para longe de uma localização, a #Fonte.  As #Fonte s perfiladas pelas palavras nesse frame, assim como o #Alvo é perfilado no frame de Colocar."
58,Auto_movimento,"O #Auto_movedor, um ser vivo, move-se sob seu próprio poder de forma dirigida, i.e., ao longo do que poderia ser descrito como #Trajetória, sem usar um veículo. Como alternativa ou além da #Trajetória, você pode mencionar #Área, #Direção, #Origem ou #Alvo para movimento."
59,Operar_veículo,"As palavras neste frame descrevem o movimento envolvendo um #Veículo e alguém que o controla, o #Condutor. Algumas palavras normalmente permitem que o #Veículo seja expresso como um constituinte separado."
60,Percepção_ativa,"Esse frame contém palavras de percepção cujos espectadores intencionalmente direcionam sua atenção para alguma entidade ou fenômeno, a fim de ter uma experiência perceptiva. Por essa razão, chamamos o papel de perceptor neste frame de #Perceptor_agentivo."
61,Dar_impressão,"Um #Fenômeno e suas características perceptíveis recebem alguma discrição. Que pode ser uma #Caracterização, descrevendo características puramente perceptíveis, uma #Avaliação (julgamento positivo ou negativo), ou uma #Inferência sobre alguma propriedade não perceptível baseada na percepção do #Perceptor_passivo. "
62,Percepção_corpo,"Este frame contém palavras que descrevem experiências físicas que podem afetar virtualmente qualquer parte do corpo. A parte do corpo afetada é quase sempre mencionada com essas palavras. É tipicamente expressada pelo nome central para o argumento externo, e este substantivo é tipicamente acompanhado por um determinante possessivo que se refere ao possuidor da parte do corpo."
63,Fazer_barulho,"Uma entidade física, interpretada como uma #Fonte_de_som pontual, emite um som. Isso inclui animais e pessoas fazendo barulho com seus tratos vocais. Às vezes, o som em si é referido como uma expressão nominal e, nesse caso, é chamado de #Som. Expressões de #Maneira também podem ser relevantes neste frame, se descreverem as propriedades do som como tal. Um esquema de trajetória pode ser sobreposto na cena simples de fazer barulho, adicionando um Local_do_protagonista e / ou uma #Trajetória. Este frame não cobre cenários em que os objetos criam sons entrando em contato forçado entre si ou se esfregando uns contra os outros. Tais cenários são cobertos pelos frames de Impacto e Fricção. O frame atual também não cobre casos em que um Agente animado ou uma Força ou Causa natural leva uma única Fonte ou várias Fontes (movendo-se ou esfregando uma contra a outra) a fazer ruído. Tais cenários são cobertos pelos frames Causar_fazer_barulho, Causar_impacto e Causar_fricção. Os casos em que a ênfase principal do frame retratado está no movimento de um tema, com emissão de som apenas um acompanhamento, são cobertos pelo frame Barulho_de_movimento. Da mesma forma, os casos em que o #Som em si é retratado como movendo-se através do espaço não são abrangidos neste frame, mas sim no movimento do som. Finalmente, todos os nomes usados ​​para evocar sons foram colocados no frame Sons. Fizemos isso porque esses nomes não denotam eventos de emissão / produção de som, mas apenas o próprio som."
64,Experiência_de_percepção,"Esse frame contém palavras de percepção cujos perceptores têm experiências perceptivas que eles não necessariamente intencionam ter.  Por esse motivo, nesse frame chamamos o papel do Perceptor de #Perceptor_passivo. Comparando o frame de Experiência_de_percepção com o de Percepção_ativa, percebemos que, para algumas modalidades, existem itens lexicais diferentes em cada frame. Por exemplo, enquanto Experiência_de_percepção tem 'ver', Percepção_ativa tem 'olhar'. Para outras modalidades de sentidos, encontramos os mesmos itens lexicais em ambos os frames. Esse frame também inclui palavras que não são específicas a qualquer modalidade de sentido, incluindo 'detectar', 'perceber', 'percepção', 'sentir'."
65,Sensação,"Este frame contém substantivos que se referem a sensações em diferentes modalidades. O EF #Origem é usado para o fenômeno que origina a sensação em questão. O EF #Percept é usado para a qualidade característica da sensação. Em casos de percepção verídica, estes não são tipicamente distinguidos um do outro; nós usamos o EF #Percept como padrão nesses casos. Com alguns substantivos nesse frame é possível expressar o ser que experimenta a sensação, ou a parte do corpo de tal ser. Marcamos essas expressões com os EFs #Perceiver_passive e #Parte_do_corpo, respectivamente."
66,Mudança_de_liderança,"Este frame diz respeito à nomeação de um #Novo_líder ou a remoção do cargo de um #Antigo_líder. O #Selecionador traz a mudança na liderança, por exemplo, elegendo ou tirando um líder. Algumas palavras no frame descrevem a remoção bem-sucedida do cargo de líder, outras simplesmente a tentativa."
67,Liderança,"Estas são palavras que se referem ao controle por um #Líder sobre uma entidade particular (o #Governado) ou uma #Atividade. O frame contém tanto nomes, referindo a um título ou posição ( <ment>diretor, rei, presidente</ment>), quanto verbos, descrevendo a ação de liderança (<ment>reger, reinar</ment>). Com verbos, é possível mencionar o #Papel desempenhado pelo #Líder (em geral um nome de uma posição de liderança, por exemplo, <ment>rei</ment>)

<ex><fex name=""Time"">Em 1789</fex> <fex name=""Leader"">Fletcher Christian</fex> <t>liderou</t> <fex name=""Activity""> o motim</fex></ex>
<ex><fex name=""Leader"">Luis XIV</fex> <t>reinou</t> <fex name=""Governed"">sobre seu povo</fex> <fex name=""Role"">como rei</fex> <fex name=""Duration"">pelo longo período de uma Europa Monárquica.</fex>.</ex>"
68,Sociabilidade,"Estas palavras descrevem o quão extrovertido ou sociável um #Juiz (geralmente implícito) acredita que um #Protagonista seja, frequentemente em um contexto particular, com certas pessoas (a #Companhia) ou acerca de uma situação, tópico ou evento (o #Conteúdo ) em particular. Em oposição ao frame Avaliação_de_interação_social, esse frame fala do quanto alguém interage, e não quão bem esse alguém interage.  "
69,Rigor,"Estes adjetivos descrevem o grau de rigor ou tolerância, normalmente relacionados a outra pessoa (o #Controlado) e normalmente, relacionado ao #Assunto. O rigor/leniência com respeito ao #Assunto pode ser manifestada no (expresso por) #Agente ou por algum #Meio (ex.: leis), ou por algum comportamento do Agente, Ex.: #Ato_controlador."
70,Posição_distribuída,"Envolve uma relação estática (principalmente espacial) entre uma #Localização e um #Tema, na qual o #Tema está localizado em muitas ou em todas as sub-regiões da #Localização e, portanto, é construível como cobertura. O #Tempo em que a configuração de cobertura é válida e a #Sub-região da #Localização envolvida pode, opcionalmente, ser indicada."
71,Causar_expansão,"Um #Agente ou uma #Causa não-humana faz com que um #Item altere seu tamanho físico. A #Mudança_de_tamanho de um #Item pode ser explicitamente indicada ou caracterizada em termos de #Tamanho_inicial e / ou #Tamanho_resultante. No caso padrão, a expansão é ao longo de todas as dimensões, mas às vezes a #Dimensão da expansão é incorporada ou tornada explícito."
72,Recipientes,"Este frame abrange entidades que são prototipicamente concebidas e criadas para cumprir a função de conter - ou seja, #Recipientes que contêm objetos ou substâncias, os #Conteúdos. Isso pode ser expresso como um complemento e inclui conteúdo potencial ou pretendido. Um #Recipiente também pode ter um #Possuidor, uma #Localização_relativa atual, um #Material do qual é construído, um método de #Construção e um #Tipo. Observe a conexão entre palavras neste frame e aquelas nos frames de  Encher, Esvaziar e Plenitude."
73,Descrição_de_duração,"Um evento ou estado (aqui chamado de #Eventualidade) ou #Período de tempo é descrito em termos de #Grau no qual a duração diverge de um padrão. Como é comum para atributos graduais, o padrão de comparação normalmente é baseado na duração esperada para o tipo de #Eventualidade ou #Período. (Em conjunção com a construção comparativa o padrão também pode ser baseado em um valor explícito). "
74,Frequência,Este frame tem a ver com a repetição (e especialmente a frequência de repetição) de um evento. Muitos dos adjetivos e advérbios neste frame são baseados em nomes no frame de Unidade_calêndrica.
75,Tempo_relativo,"Essas palavras se relacionam com a ordem relativa de dois eventos ou tempos. Existem dois tipos principais de relações evocadas pelas palavras desse frame. Algumas das palavras (por exemplo, seguir.v, antecedente.a, anterior.a) descrevem o relacionamento (definitivamente) entre dois eventos (a #Ocasião_de_referência e a #Ocasião_focal). Este primeiro tipo será movido para o frame de Vetor_de_tempo. Outras palavras (por exemplo, tardio.a, cedo.a) referem-se à alteração ou desvio de um evento da #Ocasião_de_referência (que é esperado ou usual em um determinado momento) para a #Ocasião_focal (que ocorre em um momento diferente). Com muita frequência, um #Participante_focal que está especialmente envolvido na #Ocasião_focal é o escolhido para a ocasião."
76,Cenário_do_comércio,"O comércio é uma situação na qual um #Comprador e um #Vendedor concordaram com uma troca de #Dinheiro e #Mercadorias (possivelmente após uma negociação), e então realizaram a troca, opcionalmente realizando com vários tipos de pagamento direto ou financiamento ou a entrega de mudança. O #Vendedor indica sua disposição de dar as #Mercadorias em sua posse a um #Comprador que lhe desse uma quantia de #Dinheiro. O #Vendedor já pode ter decidido sobre a quantia de dinheiro que eles exigiriam e, nesse caso, é chamado de preço de compra. O #Comprador também indica sua disposição de dar uma quantia de dinheiro chamada de Oferta a um #Vendedor que lhe daria as #Mercadorias. Normalmente, o processo é iniciado pelo #Vendedor. Os meios pelos quais o #Vendedor indica seu desejo de se envolver em uma troca são variados, variando de colocar um preço em um item em uma prateleira de loja, para anunciar, para se comunicar direta e especificamente com um possível #Comprador. Em alguns casos, no entanto, o processo pode ser iniciado pelo #Comprador indicando a um possível #Vendedor que eles gostariam de fazer uma troca."
77,Careza,"Um #Pagador desiste (ou potencialmente desiste) do uso de um #Ativo (geralmente dinheiro) para alcançar um evento pretendido. Geralmente, esse evento é mais especificamente descrito como adquirir alguns #Bens ou receber um serviço. Na maioria dos casos, o #Pagador é descrito genericamente, e a situação descrita responde à questão de quanto de um #Ativo teria que ser entregue para receber os #Bens ou trazer o #Evento_pretendido."
78,Frugalidade,As palavras desse frame descrevem como um #Controlador_do_recurso gasta dinheiro ou outro #Recurso para uma finalidade específica. Eles podem ser aplicados ao #Controlador_do_recurso ou ao #Comportamento em instâncias específicas. Estas palavras indicam uma avaliação de quão conservador o #Controlador_do_recurso protege seu #Recurso.
79,Poder_aquisitivo,"Uma #Pessoa ou #Instituição é descrita em termos de seu poder aquisitivo. Em outras palavras, a quantidade de dinheiro que possui."
80,Tentar_persuadir,"O  #Falante expressa através de linguagem seu desejo de levar o #Destinatário a agir de alguma forma que irá ajudá-lo em relação a estados e eventos descritos no #Conteúdo. Não há nenhuma implicação de que o #Destinatário tenha uma intenção de agira ou que, de fato, agirá."
81,Afetar_pelo_evento,"Uma #Entidade sofre alguma alteração, o #Evento, que é interpretada como pontual."
82,Persuasão,"Um #Falante através da língua que quer que o #Destinatário aja e como resultado, o #Destinatário apresenta a intenção de fazê-lo. Não há implicações que o #Destinatário aja através da intenção formada. No caso de convencer e persuadir, o ato que o #Falante quer que o #Destinatário realize pode ser a adoção de uma crença, que pode ser expressa como uma cláusula ou PP complementar, Este frame se difere de Tentar_persuadir, a única implicação é que o #Falante se comunica com a intenção de mudar a opinião do #Destinatário"
83,Convencer,Um #Falante expressa através da linguagem seu desejo de fazer com que o #Destinatário aja. O #Destinatário forma uma intenção de agir e faz isso.
84,Mudar_posição_em_uma_escala,"Este frame é composto por palavras que indicam a alteração da posição de um #Item em uma escala (o #Atributo) de um ponto inicial (#Valor_inicial) para um ponto final (#Valor_final). A direção (#Trajetória) do movimento pode ser indicada, assim como a magnitude da mudança (#Diferença). A taxa de mudança do valor (#Velocidade) é indicada opcionalmente. Outra escala (#Correlato), com a qual os valores são correlacionados, é indicada se não for o correlato padrão (ou seja, tempo absoluto). A distinção entre #Atributo e #Item nem sempre é fácil."
