Scenario Frame,Description
Cenário_de_desenvolvimento_de_produto,"Um #Desenvolvedor trabalha para criar progresso em uma entidade. A #Entidade normalmente passa por três estágios de desenvolvimento: o processo conceitual (Inovar); o processo de desenvolvimento (Desenvolvimento_de_produto); e o processo de fabricação (Fabricação). A #Entidade também pode passar por processos adicionais, como projeto, engenharia, prototipagem e testes."
Cenário_de_distância,Esse frame é resumido em vários pontos de vista na especificação ou descrição de #Distância. A #Distância pode ser especificada com precisão como uma #Quantidade de alguma #Unidade padrão ou pode ser descrita pelo #Grau que difere da expectativa.
Cenário_de_doação,"A sequência de eventos em que o #Doador começa na posse do #Tema, depois o entrega ao #Recipiente, abandonando a posse."
Cenário_de_duração,"Um #Evento ou um #Período tem uma #Duração particular. A #Duração pode ser caracterizada de alguns modos diferentes:  Como uma medida direta de #Duração, um #Grau de desvio de uma #Duração esperada, ou #Contagem de #Unidades de uma duração padrão conhecida."
Cenário_de_emergência_de_incêndio,"Este frame caracteriza qualquer cenário em que a presença de um incêndio exige uma resposta de emergência, a fim de mitigar os danos causados diretamente pelo incêndio.
"
Cenário_de_emprego,"Um #Empregado e um #Empregador estabelecem uma relação de emprego, na qual o #Empregado permanece por algum tempo, e, por fim, o relacionamento termina pelo #Empregado, que está deixando o emprego, ou pelo #Empregador o deixando ir ou demitindo-o. Para cada um desses eventos há concordâncias, como concordar/assinar um contrato para entrar no emprego, para a #Remuneração e para o desempenho de um serviço no período do trabalho, e para a rescisão da ruptura dessa relação. Existem vários outros eventos envolvidos, incluindo ações preparatórias por parte do #Empregador (ao disponibilizar o #Cargo), a parte do #Empregado em potencial (ao procurar um emprego), ou de ambos (entrevistas de emprego). Além disso, há a possibilidade de mudança da relação entre #Empregador e #Empregado durante o período de emprego, como uma mudança no #Cargo (como promoção ou rebaixamento) e uma mudança na #Remuneração (como um aumento ou um corte salarial)."
Cenário_de_enganação,"Enganação é um cenário em que um #Enganador tenta fazer com que uma #Vítima chegue a um entendimento incorreto sobre um #Tópico. Isto pode ser feito apresentando um #Fenômeno enganoso à #Vítima, ou escondendo a existência de itens nos quais a #Vítima pode estar interessada. Note que a #Vítima não está necessariamente ciente da (possível) existência do #Tópico ou itens relacionados a ele."
Cenário_de_estado_delimitado,Um #Estado (geralmente um processo em andamento) está em andamento por algum período de tempo.
Cenário_de_fragmentação,"Um #Todo se fragmenta ou quebra em #Partes, ou alternativamente uma parte, a #Parte_1, se solta do resto do item, chamado #Parte_2."
Cenário_de_hospedagem,Um #Anfitrião fornece uma #Residência para um #Hóspede ficar temporariamente.
Cenário_de_identidade,Uma #Instância de um #Tipo é concebida como portadora de uma #Identidade distinta. Sua #Identidade persiste durante o tempo e permanece constante por uma #Instância mesmo com mudanças arbitrárias em outros atributos da #Instância.
Cenário_de_importação_e_exportação,"Um #Agente move os #Bens (ou outro ítem útil) da #Área_de_exportação, ao longo da fronteira para uma área diferente, a #Área_de_importação. A #Trajetória pela qual os #Bens passam pode também ser indicada. Dependendo da Unidade Lexical, o ponto de vista do #Agente pode ser centralizado na #Área_de_exportação no início do processo. Em algumas sentenças, um constituinte que codifica o #Agente e também codifica informações sobre a #Área_de_exportação, a #Trajetória, ou a #Área_de_importação."
Cenário_de_inclusão,Uma #Parte é um subconjunto de uma coleção de itens que compõem um #Todo ou uma subparte de um #Todo singular. Esse frame abrange tanto as relações de super / subconjunto quanto as relações entre parte e todo.
Cenário_de_invasão,"Um #Invasor entra em uma terra em uma tentativa de dominar o #Atacado, e ele ou falha ou é bem sucedido. "
Cenário_de_medida,"Uma #Entidade tem um #Valor em particular para um #Atributo, que pode ser descrito de várias maneiras diferentes. O #Grau de desvio do #Valor esperado para o tipo de #Entidade visto em uma instância específica ou em comparação com algum outro conjunto de comparação explícito. A quantificação absoluta em termos do número de #Contagens de uma determinada #Unidade que é igual ao #Valor para o #Atributo."
Cenário_de_movimento,"Esse frame une as várias partes do movimento, da partida e a viagem, até a chegada. "
Cenário_de_mudança_de_consciência,"Um #Experienciador toma conhecimento de algum #Fenômeno (uma situação, fato ou ideia) que antes não tinha em mente."
Cenário_de_mudança_de_fase,A sequência de eventos em que o #Paciente começa como um estado da matéria e termina como outro.
Cenário_de_nascimento,"Nasce uma #Prole de uma #Mãe e um #Pai, coletivamente referidos como #Pais. Este evento acontece em um determinado #Tempo e #Lugar."
Cenário_de_obrigação,"Sob alguma #Condição usualmente implícita, uma #Tarefa precisa ser cumprida por uma #Parte_responsável. Se a #Tarefa não for realizada, pode haver alguma #Consequência social indesejável para a #Parte_responsável. Esta #Consequência pode ou não ser indicada abertamente."
Cenário_de_operar_veículo,"Este frame descreve um #Operador interagindo com um #Veículo para transportar a si mesmo (e possivelmente outros) de uma #Fonte a um #Alvo. As três etapas primárias são a preparação para operação canônica, operação do veículo propriamente dita e trazer o veículo de volta a um estado de repouso, onde ele pode continuar a se mover, mas não da maneira típica."
Cenário_de_perda_de_posse,"Este é o Frame que une o estado inicial do #Doador que possui o #Tema, a transferência e o estado final do #Doador que não possui o #Tema."
Cenário_de_procurar,Um #Pensador procura um #Fenômeno dentro do perímetro do #Fundo. 
Cenário_de_receber,A sequência começando com o #Receptor não tendo o #Tema e terminando com o #Receptor em posse do #Tema.
Cenário_de_receber_visitante,"Um (potencial) #Visitante chega a um local associado a um (potencial) #Anfitrião. O #Anfitrião permite que o #Visitante entre no local, e permite que o #Visitante se beneficie dos recursos disponíveis, a fim de alcançar algum objetivo. A visita é muitas vezes por motivos sociais ou de entretenimento. Após uma estadia temporária no local do #Anfitrião, o #Visitante parte."
Cenário_de_remoção,A cena abstrata em que um #Agente afeta uma #Fonte e um #Tema para que o #Tema acabe não co-localizado com a #Fonte.
Cenário_de_reprodução_sexual,Esse frame incorpora o processo de procriação.
Cenário_de_requerimento,"Um estado de coisas, o #Dependente, não pode ocorrer sem que outro estado de coisas, o #Requerimento, também se realize. Esse #Requerimento é interpretado como estando sob o controle de alguma força ou ator implícito.  Em uma interpretação alternativa, o estado #Dependente de coisas pode ser apresentado como dependendo da presença de uma #Entidade_requerida. Indivíduos que lucram com a ocorrência do estado #Dependente, #Indivíduos_dependentes, estão em segundo plano. O mesmo vale para indivíduos (#Indivíduo_requerido) que são obrigados a fornecer qualquer #Entidade_requerida ou a cuidar da ocorrência do estado de coisas #Dependente. O nexo entre #Requiremento e #Dependente pode ser qualificado mais além em termos do #Grau de força do vínculo entre as duas eventualidades, o #Lugar e #Tempo onde esse nexo se realiza, a #Razão de sua existência ou uma especificação de #Condição quando isso se aplica."
Cenário_de_resposta,Um #Gatilho provoca uma #Resposta de alguma #Entidade_responsiva ou um #Agente.
Cenário_de_restrição_de_movimento,"Esse cenário refere-se a um #Agente que restringe o movimento de um #Tema contra o desejo, o plano ou a tendência de ser livre. Após um período de tempo, o #Agente pode optar por liberar o #Tema, ou o #Tema pode escapar ou ser libertado por uma causa interveniente."
Cenário_de_resultado_de_tentativa,Um #Agente e sua #Ação têm sucesso ou fracasso na medida em que o resultado de uma #Ação corresponda ao #Objetivo que ele espera alcançar através da #Ação.
Cenário_de_risco,"Um #Ativo está em uma #Situação específica, que tem a probabilidade de levar ou convidar a um #Evento_nocivo que afetará negativamente o #Ativo."
Cenário_de_situação_dinâmica,"Este frame denota #Eventos simples em que uma #Entidade está em uma situação dinâmica, geralmente pontual ou continuamente mudando para estar de acordo com a situação codificada no final do evento. Esse frame também cobre situações em que não há diferença significativa entre os estados anterior e posterior, mas a situação dinâmica que ocorre entre eles é notavelmente limitada temporalmente."
Cenário_de_sujeição,"Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele."
Cenário_de_tentativa_de_interação_distante,"Um #Agente tenta interagir com um #Alvo, relativamente distante ou indiretamente acessível, usando algum #Instrumento (que pode ser parte do corpo). A capacidade do #Agente para manipular o #Instrumento e colocá-lo no lugar do #Alvo está em questão. Os tipos mais comuns de interação distante envolvem um #Agente tentando mover balisticamente o #Instrumento, de modo que acerte o #Alvo (por exemplo, Cenário_de_atirar), ou um #Agente, tentando dirigir um #Instrumento que permita a percepção da #Localização_do_alvo a ser examinada."
Cenário_de_tentativa_de_obter_alimento,Um #Investigador está tentando obter #Alimento e o busca dentro do contexto #Fundo.
Cenário_de_tiro,"Uma #Arma_de_fogo é disparada, causando o movimento de um #Projétil. Esse frame existe primariamente para relacionar frames. "
Cenário_de_transferência,"Neste cenário, o #Tema começa na posse do #Doador e termina na posse do #Receptor. Alternativamente, esses dois participantes podem construir em conjunto os #Transferidores."
Cenário_de_transferência_temporária,"Nesse cenário, o #Tema começa na posse do #Emprestador e termina na posse do #Mutuário, com a expectativa de que o #Mutuário retornará o #Tema após uma #Duração do tempo."
Cenário_do_ciclo_de_existência,"Um #Entidade surge, existe há algum tempo e deixa de existir."
Cenário_do_comércio,"O comércio é uma situação na qual um #Comprador e um #Vendedor concordaram com uma troca de #Dinheiro e #Mercadorias (possivelmente após uma negociação), e então realizaram a troca, opcionalmente realizando com vários tipos de pagamento direto ou financiamento ou a entrega de mudança. O #Vendedor indica sua disposição de dar as #Mercadorias em sua posse a um #Comprador que lhe desse uma quantia de #Dinheiro. O #Vendedor já pode ter decidido sobre a quantia de dinheiro que eles exigiriam e, nesse caso, é chamado de preço de compra. O #Comprador também indica sua disposição de dar uma quantia de dinheiro chamada de Oferta a um #Vendedor que lhe daria as #Mercadorias. Normalmente, o processo é iniciado pelo #Vendedor. Os meios pelos quais o #Vendedor indica seu desejo de se envolver em uma troca são variados, variando de colocar um preço em um item em uma prateleira de loja, para anunciar, para se comunicar direta e especificamente com um possível #Comprador. Em alguns casos, no entanto, o processo pode ser iniciado pelo #Comprador indicando a um possível #Vendedor que eles gostariam de fazer uma troca."
Cenário_do_empregado,"A sequência de eventos em que o #Empregado é contratado por um #Empregador, mantém um #Cargo e, finalmente, deixa esse #Cargo."
Cenário_do_empregador,"A sequência de eventos em que o #Empregador contrata um #Empregado, emprega-os em um #Cargo por alguma #Duração e, finalmente, permite que eles saiam desse #Cargo."
Cenário_do_esporte,"Atividade essencialmente humana cujo ator principal é um #Atleta que pratica algum #Esporte, visando ao bem estar ou a vencer uma competição regida por regras e fazendo uso de determinados tipos de #Equipamento e #Instalação."
Cenário_do_fogo_acabar,"Este cenário começa com uma queima de #Fogo, transita para quando o #Fogo acaba e termina com o #Fogo dissipado."
Cenário_do_turismo,"Representa de uma forma mais geral a atividade essencialmente humana cujo ator principal é um #Turista interessado em conhecer e/ou usufruir os benefícios de uma #Atração ou um #Lugar de modo geral. Diferentes razões promovem esse trânsito de pessoas, como entretenimento, negócios, evento e estudos."
Cenário_do_turismo_estada,"Várias motivações fazem com que o #Turista tenha uma experiência turística durante a estada em um #Lugar: atrações, eventos, religião, negócios, estudo, aventura etc. Durante o período de estada, essas motivações são concretizadas. O #Turista se interessa por outras atividades além daquelas que motivaram o deslocamento. Essas atividades, geralmente, projetam-se em atrações e/ou lugares reconhecidos pela humanidade por conter importância histórica ou cultural, recursos naturais e/ou artificiais."
Cenário_do_turismo_partida,"O #Turista sai da #Origem com o objetivo de chegar ao seu #Destino, que, geralmente, é o local onde reside. Para que isso aconteça, é necessário que ele finalize a estadia no alojamento escolhido."
Cenário_do_turismo_preparação,"O #Turista procura conhecer mais sobre a região onde acontecerá o turismo. Diferentes informações são pesquisadas, como atrações locais, questões de culinária, saúde, documentação, clima, deslocamento e segurança. Além disso, podem ser realizadas compras de passagem, reserva de hotéis ou mesmo pacotes de viagens, incluindo tanto deslocamento e alojamento quanto passeios turísticos desejados. Essas questões podem ser consideradas o planejamento da #Atividade_turística."
Cenário_histórico_socialmente_significante#,Uma série de #Eventos são importantes para a humanidade e a sua cultura.
Cenário_locativo,"Uma #Figura está localizada em relação a um #Fundo, cuja localização é (geralmente) melhor conhecida. Isso é feito identificando-se a #Figura como dentro de uma #Região_perfilada - uma forma definida por um esquema de imagem, localizada em um #Fundo e dimensionada por um contexto. Alternativamente, um grupo de #Figuras é descrito dentro de uma #Região_perfilada simétrica localizada simultaneamente em relação a cada uma das #Figuras."
Cenário_tentar_e_resolver,Um #Agente tem uma #Meta em mente e usa algum #Meio que ele acreditam que trará a #Meta. O #Agente é bem-sucedido ou falha na medida em que o resultado da ação do #Meio corresponde à #Meta.
Cenário_tentativa_de_obter_mineral,"Um #Agente tenta obter um recurso não-renovável, frequentemente #Minerais sólidos ou metais, mas também óleo, água, e outras substâncias valiosas."
Cenário_visita,"Um #Agente e uma #Entidade tornam-se co-localizados. O #Agente em busca de uma #Finalidade permanece temporariamente com a #Entidade para satisfazer a #Finalidade e depois parte novamente, geralmente de volta para sua #Localização_normal."
Cenário_visitante,"Um #Agente deixa sua #Localização_normal e combina a localização com uma #Entidade em busca de uma #Finalidade. O #Agente permanece, temporariamente, com a #Entidade para realizar a #Finalidade e depois parte de novo, geralmente para a #Localização_normal."
Cenário_visita_chegada,Um #Agente chega a uma localização que deve ajudá-lo a realizar a #Finalidade. Esta situação é um ponto de vista neutro.
Cenário_visita_estadia,"Um #Agente combina a localização com a #Entidade para satisfazer alguma #Finalidade. Geralmente, a #Finalidade é social ou  de entretenimento. Esta cena é um ponto de vista neutro."
Cenário_visita_partida,"Um #Agente parte de uma #Origem, normalmente com destino a sua localização normal. Este é um conceito de ponto de vista neutro da partida."
Cenário_de_reação_química,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_ciclo_biológico,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_formação_geológica,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_processos_físicos,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_transformação_de_energia,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_sistemas_ecológicos,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_clima_e_meteorologia,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_processos_astronômicos,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Naturais são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_governança,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_legislação,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_sistema_político,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_atividade_burocrática,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_interação_familiar,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_rituais_sociais,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_conflito_social,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_organização_militar,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_relações_internacionais,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_atividade_religiosa,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_movimentos_sociais,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_atividade_educacional,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Sociais e Humanas são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_modelagem_matemática,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_execução_algorítmica,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_prova_matemática,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_planejamento_algorítmico,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_otimização,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_machine_learning,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Exatas e Computação são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_produção_industrial,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Aplicadas e Indústria são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_projeto_e_inovação,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Aplicadas e Indústria são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
Cenário_de_logística,"Neste cenário, eventos, processos ou atividades no domínio de Ciências Aplicadas e Indústria são descritos. Um ou mais participantes interagem, atuam ou são afetados, dependendo do tipo de situação. O cenário captura os papéis principais dos participantes, as condições iniciais, os processos envolvidos e os resultados esperados ou possíveis. As relações típicas entre participantes, objetos, eventos e ambientes são representadas para este tipo de situação."
