Lemma,Cluster
colaboração,929
cooperação,929
aceitação,3074
oferta,1941
proposta,3264
convite,1035
condição,213
acelerar,564
dinamismo,1472
eficiência,1897
rapidez,243
agilidade,243
velocidade,305
reduzir tempo,1793
aumentar eficiência,1588
melhorar desempenho,1654
otimizar processos,1504
acelerar resultados,1504
processo,539
crescimento,294
desenvolvimento,663
acenar,2400
atenção,958
reconhecimento,663
resposta,2715
interação,1398
comunicação,175
cumprimentar,753
despedir-se,753
chamar atenção,895
sinalizar,128
expressar,1976
cabeça,641
lenço,3394
chapéu,308
bandeira,1616
acender,307
iluminação,1082
clareza,243
visibilidade,323
iluminar,2986
aquecer,3662
criar ambiente,1793
luz,1331
vela,1611
acentuar,1548
destaque,380
ênfase,2968
realce,1378
intensidade,305
enfatizar,1548
realçar,1548
destacar,1548
evidenciar,128
diferença,754
característica,380
detalhe,174
aspecto,1860
acertar,558
sucesso,271
realização,219
corrigir,1069
melhorar,1613
resolver,1316
alvo,419
decisão,1658
objetivo,2780
achar,3808
descobrir,1997
encontrar,1872
identificar,128
localizar,473
solução,1316
acionar,350
funcionamento,663
operação,342
ativação,948
iniciar,3430
ativar,948
operar,3521
alarme,675
dispositivo,1726
equipamento,175
aclimatar,1103
clima,3804
ambiente,959
condições,832
meio,3305
adaptação,219
ajuste,592
ambientação,1082
acostumação,281
habituação,1301
acolher,856
hospitalidade,772
recepção,1444
empatia,49
visitantes,41
refugiados,1745
acometer,170
sintomas,58
mal-estar,755
dor,3756
febre,1150
infecção,194
crise,3212
indivíduo,922
paciente,843
organismo,148
acompanhar,39
monitoramento,73
supervisão,633
guia,3732
vigilância,73
trabalho,722
atividade,305
aconselhar,1250
orientação,633
conselho,1933
ajuda,1833
direção,1724
sabedoria,322
cliente,326
aluno,2920
acontecer,1084
evento,1143
ocorrência,83
fato,2334
incidente,848
tempo,149
acordar,3278
alerta,1768
despertar,3278
sono,1074
vigília,368
manhã,879
adulto,555
acostumar,650
hábito,3902
rotina,2836
familiarização,754
acreditar,32
crença,94
esperança,912
convicção,1231
ideia,871
conceito,1374
teoria,3466
acrescentar,50
adição,180
incremento,294
complemento,39
expansão,294
comentário,192
nota,3051
explicação,1889
acudir,3298
médico,1830
enfermeiro,1571
bombeiro,1170
socorrista,1571
voluntário,292
socorro,206
resgate,206
vítima,1700
ferido,1064
necessitado,1338
doente,3596
acumular,1518
acúmulo,1518
concentração,305
acervo,2924
coleção,1828
economia,661
investimento,1854
poupança,1854
dinheiro,1854
pontos,1742
acusar,1626
réu,2791
acusado,1233
suspeito,1233
indiciado,1233
infrator,919
testemunho,802
prova,814
evidência,1231
denúncia,1231
investigação,67
crime,1946
infração,3467
delito,1946
adaptar,940
evolução,83
ajustamento,663
melhoria,917
modificação,1751
alteração,1751
personalização,595
adequação,219
texto,1528
roteiro,666
adequar,940
padronização,1906
regulamentação,3420
normalização,1906
conformidade,595
harmonização,1906
alinhamento,1842
compatibilidade,595
norma,1971
padrão,1270
critério,1585
exigência,39
aderir,330
associação,2214
participação,929
fusão,3477
união,2462
fixação,592
adesão,330
ligação,1153
conexão,1153
superfície,305
material,408
causa,366
adiantar,1517
adiantamento,1906
antecipação,1906
produtividade,1897
ganho,2755
otimização,764
prazo,1191
tarefa,259
adiar,564
atraso,2705
postergamento,1654
prorrogação,219
dilação,491
retardamento,663
planejamento,839
reorganização,1906
revisão,67
gestão,633
reunião,704
adicionar,50
aumento,1958
acréscimo,173
enriquecimento,663
completude,800
ingrediente,1529
elemento,1585
valor,3925
adivinhar,1460
vidente,461
médium,3046
curioso,657
interessado,657
jogador,1379
previsão,912
intuição,322
dedução,3254
interpretação,1906
futuro,91
segredo,297
intenção,2780
administrar,420
recursos,698
medicamentos,1497
estratégias,832
gestor,455
administrador,444
diretor,1590
gerente,1590
líder,3453
empresa,2214
negócio,342
medicamento,1497
organização,2214
admirar,205
inspiração,322
respeito,556
fascínio,657
motivação,213
apreciação,1889
observadores,41
fãs,3383
espectadores,41
críticos,0
paisagem,193
arte,3081
obra,3194
talento,1434
admitir,2332
verdade,1178
culpados,135
confessores,241
testemunhas,802
falha,2325
adoecer,10
fraqueza,213
incapacidade,213
vírus,1910
bactéria,2114
exposição,637
cansaço,827
adorar,2402
alegria,535
prazer,3408
contentamento,169
devotos,241
seguidores,241
crentes,241
admiradores,41
deus,2285
ídolo,3802
celebridade,681
hobby,2309
adormecer,3278
sonolência,1160
exaustão,1301
adornar,2985
joias,3204
flores,56
enfeites,1037
decorações,808
acessórios,698
artistas,1858
decoradores,808
designers,1092
estilistas,1092
floristas,1021
mesa,2779
roupa,1235
adotar,1746
famílias,3242
casais,3182
organizações,832
instituições,832
adquirir,1408
posse,3876
habilidade,322
compradores,404
estudantes,41
investidores,1854
colecionadores,2365
consumidores,404
produto,441
bem,2094
advertir,2945
cautela,1869
prevenção,764
prudência,1869
funcionários,41
motoristas,833
alunos,41
cidadãos,41
perigo,3063
risco,2746
consequência,83
afastar,941
distância,1220
separação,485
distanciamento,663
afastamento,143
conflito,406
desentendimento,848
desacordo,556
briga,686
ameaça,3063
aferir,3796
medição,830
avaliação,67
verificação,1889
mensuração,1889
instrumento,1011
medidor,830
afetar,1157
emoção,1489
sentimento,1988
reação,2287
efeito,29
afiar,2253
lâmina,3574
corte,2484
afiador,429
lima,2167
pedra,11
precisão,243
desempenho,173
funcionalidade,595
afiamento,1842
afirmar,32
certeza,1460
declaração,1889
afirmação,1231
confirmação,1274
verbalização,3116
expressão,1238
argumentos,1231
declarações,1942
provas,814
evidências,1231
afluir,3342
fluxo,3592
corrente,410
chegada,1444
convergência,1906
água,3590
trânsito,432
afogar,2470
morte,2424
sufocamento,848
desespero,169
pânico,2504
tristeza,535
acidente,341
negligência,1409
imprudência,1409
vida,1324
sobrevivência,1906
bem-estar,320
submersão,485
afundar,569
desaparecimento,848
perda,1652
flutuação,1085
emergência,1318
estabilidade,1906
peso,3481
gravidade,305
agachar,3666
posição,40
flexibilidade,595
exercício,1341
postura,1002
joelhos,351
pernas,351
músculos,1313
agarrar,389
agendar,278
compromissos,832
eventos,1097
datas,2693
reuniões,1097
consultas,3452
calendário,839
agenda,839
aplicativo,1726
agir,2230
resultado,173
comportamento,663
atitude,1002
profissional,633
grupo,44
turbulência,1472
excitação,79
mistura,1466
animação,1747
festa,1395
aglomerar,3726
multidão,1621
congestionamento,1800
confusão,1963
atração,3524
promoção,1899
agradar,153
elogio,707
presente,456
gesto,3931
ação,1399
esforço,2068
agradecer,1865
apreço,599
gratificação,245
gentileza,772
favor,937
cartão,2274
agravar,1566
falta de cuidado,611
agredir,1904
lesão,3564
provocação,290
raiva,495
arma,3760
agrupar,2010
unidade,40
coletivo,292
categoria,40
aguar,1727
hidratação,1530
saúde,2181
plantas,56
jardim,973
horta,1366
necessidade,83
falta de chuva,611
plantação,270
regador,561
mangueira,1058
aguardar,893
espera,893
fila,1018
notícia,1714
chamada,1401
aguentar,650
dificuldade,213
desafio,2865
ajoelhar,2522
culto,1755
devoção,599
crente,831
devoto,3142
fiel,1314
adorador,368
ajudar,1833
assistente,279
colaborador,444
mentor,403
beneficiário,444
receptor,1704
assistido,55
ajudado,1833
vizinho,3436
colega,554
calibração,736
regulagem,592
configuração,595
parâmetro,1585
alargar,1624
ampliação,294
estrada,452
espaço,1631
avenida,1342
alastrar,644
epidemia,1300
incêndio,1170
pandemia,1300
contágio,194
propagação,294
boato,2760
alcançar,573
dedicação,2068
perseverança,322
meta,3926
destino,1494
alegar,1285
tribunal,34
litígio,406
controvérsia,216
motivo,366
razão,366
justificativa,1889
argumento,1231
defesa,1602
alegrar,2556
júbilo,1205
coração,1988
dia,3747
alertar,2945
detecção,3275
aviso,1254
sinal,1179
mensagem,949
comunicado,913
notificação,913
aliar,2006
parceria,929
sinergia,1398
negociação,342
diplomacia,492
entendimento,663
fortalecimento,663
aliança,1550
nutrição,738
fome,3450
apetite,397
desejo,336
consumo,621
sustento,1221
comida,2301
nutriente,293
refeição,427
alinhar,940
ordem,3829
simetria,588
coerência,995
correção,1751
sincronização,595
coordenação,633
linha,1086
referência,754
diretriz,3264
aliviar,1422
preocupação,83
desconforto,755
remédio,593
terapia,242
almejar,842
foco,2747
sonho,3673
almoçar,762
convívio,1903
pausa,1741
prato,2096
bebida,606
alojar,2119
acomodação,928
estadia,1147
deslocamento,1842
quarto,359
cama,2974
instalação,219
alongar,185
rigidez,1085
treinamento,633
alongamento,1341
alterar,50
variação,1085
alternar,1517
substituição,39
troca,1826
diversificação,1906
alugar,334
ocupação,805
locação,51
contrato,217
propriedade,800
moradia,1276
uso temporário,990
imóvel,51
veículo,1023
apartamento,1446
amadurecer,1172
maturação,1172
maturidade,1172
fruta,2360
planta,3916
amamentar,1619
maternidade,877
alimentação,738
leite,1048
peito,2887
mãe,2673
bebê,2740
filho,1662
amanhecer,1350
claridade,1082
tarde,879
sol,3568
amar,2076
paixão,3855
relacionamento,663
objeto,3636
amarrar,602
nó,2015
corda,2658
fita,105
ambicionar,96
conquista,320
ambientar,55
familiaridade,754
contexto,752
ameaçar,811
medo,467
intimidação,290
oponente,1876
adversário,1876
ações,1013
nação,2226
amigar-se,200
amizade,918
companheirismo,663
amigos,2020
amortalhar,961
funeral,1694
sepultamento,907
luto,1469
ritos,835
mortalha,961
tecido,1639
pano,1029
cadáver,1523
defunto,1523
amparar,1328
necessitados,1338
suporte,502
ampliar,1624
tecnologia,1606
imagem,1305
amuar,3812
silêncio,588
descontentamento,169
analisar,1696
exame,1208
pesquisa,67
relatório,992
ferramentas,595
andar,2238
locomoção,1763
caminhada,643
passeio,1703
rua,3240
calçada,952
parque,527
pés,2027
calçado,630
anexar,2765
documento,992
arquivo,440
e-mail,1118
correspondência,1906
anexo,3415
animar,2556
entusiasmo,169
diversão,1180
entretenimento,1180
plateia,1621
anoitar,200
crepúsculo,1350
noite,879
escuridão,1082
entardecer,1350
pôr do sol,252
anoitecer,1350
ansiar,1433
expectativa,912
curiosidade,657
alguém,773
ser humano,990
anteceder,590
acontecimento,848
antecipar,1517
preparação,219
anular,3344
voto,2878
anunciar,818
microfone,443
alto-falante,443
mídia,1937
cartaz,1583
locutor,3748
anunciante,2157
jornalista,1650
apagar,601
borracha,1785
apagador,429
tecla,2641
fósforo,3759
interruptor,416
memória,1487
apaixonar,331
beleza,931
carisma,1434
personalidade,800
apanhar,389
rede,2618
vara,1595
luva,2543
armadilha,1873
policial,3113
pescador,1723
caçador,2512
bola,3388
peixe,517
ladrão,3651
inseto,1057
aparecer,1084
presença,985
manifestação,965
revelação,754
lugar,852
momento,149
circunstância,832
sombra,3856
figura,1305
aparentar,96
aparência,619
impressão,1194
semblante,3594
tom,2177
idade,3670
estado,31
caráter,1860
apedrejar,703
projétil,826
manifestante,965
agressor,919
vidro,2849
apelar,751
recurso,751
clamor,476
apelo,937
veredicto,34
sentença,34
apertar,1218
botão,2473
cinto,3874
parafuso,1186
mecânico,1186
operador,381
usuário,3882
trabalhador,722
apetecer,1289
vontade,322
interesse,657
inclinação,305
apiedar,75
compaixão,1877
misericórdia,1877
piedade,1877
observador,1752
testemunha,802
sofrimento,169
apimentar,809
sabor,3325
picância,1802
tempero,367
pimenta,3848
molho,3601
especiaria,3355
condimento,1529
receita,1879
apitar,3694
apito,3753
árbitro,3322
juiz,3500
técnico,1590
condutor,587
jogo,1978
partida,579
aplaudir,1984
público,84
artista,42
performance,1110
discurso,340
apresentação,1889
show,3598
palmas,2436
aplicar,304
procedimento,73
execução,2198
implementação,1906
apodrecer,10
cheiro,673
decomposição,89
deterioração,485
umidade,1973
bactérias,2114
putrefação,89
vegetal,1090
apoiar,1328
braço,3449
apontar,128
indicação,1889
dedo,695
aportar,3742
porto,2457
trajeto,1494
aposentar,159
inatividade,213
carreira,1913
apossar,144
aquisição,219
apostar,1161
apostador,87
participante,444
chance,3555
lucro,3422
vitória,967
competição,579
ficha,2508
apreciar,205
contemplação,3116
apreender,3828
captura,734
detenção,1283
confisco,143
aprender,1332
competência,39
processo educativo,990
desenvolvimento pessoal,1098
crescimento intelectual,1098
educação,151
ensino,138
livros,1705
aulas,108
apresentar,181
introdução,1889
conferência,1889
demonstração,1889
informar,128
explicar,430
demonstrar,430
slides,3356
gráficos,141
apressar,1517
urgência,1318
pressa,1950
agilizar,2548
aprofundar,1613
detalhamento,663
estudar,1332
investigar,1696
aprovar,1241
validação,1889
critérios,1078
normas,3400
regulamentos,3420
aproveitar,245
benefício,173
utilização,219
aproveitamento,663
maximizar,1422
usufruir,205
desfrutar,205
oportunidades,245
aproximar,941
proximidade,754
unir,2554
conectar,462
juntar,677
apurar,2250
exatidão,243
verificar,1696
confirmar,1274
fatos,815
frio,1501
esquentar,3662
aumentar temperatura,281
eletricidade,175
combustível,3184
arborizar,9
oxigênio,3364
biodiversidade,979
reflorestamento,979
sustentabilidade,1906
ecologia,959
florestamento,979
meio ambiente,895
urbanização,979
paisagismo,1021
árvores,56
sementes,2637
arder,3887
vermelhidão,522
olhos,343
garganta,1465
ácido,3068
queimadura,86
inflamação,522
picada,1429
frescura,1802
renovação,1642
argumentar,556
convencimento,663
retórica,1738
persuasão,1738
conversa,1903
razões,366
armar,2013
guerra,1445
armas,610
armazenar,1365
conservação,764
estoque,441
depósito,671
armazenamento,1684
caixas,3144
prateleiras,605
arrancar,389
remoção,344
extração,344
construção,932
reparo,3616
arranhar,1926
marcas,2859
desgaste,755
dano,3219
contato,545
unhas,947
garras,607
arranjar,1872
arrasar,317
destruição,485
devastação,485
desastre,960
arrastar,1135
danos,2643
atrito,3602
fricção,3602
ralado,3578
movimentação,410
trator,2785
máquina,381
motorista,587
mala,2442
tronco,3432
móvel,2108
cadeira,509
saco,1261
terreno,3082
arrebentar,794
explosão,236
quebra,1009
rompimento,485
limite,763
contenção,764
colapso,1647
sobrepressão,908
sobrecarga,213
balão,2919
tubo,3645
pneu,1423
rachadura,1900
fissura,8
vazamento,1900
estouro,236
fragmento,645
destroço,645
ruído,3397
arrecadar,1365
fundos,1259
capital,1424
financiamento,1854
campanha,1899
arrecadação,3114
doação,3115
imposto,1556
contribuição,929
governo,629
instituição,2214
entidade,2214
cofre,2821
conta,2947
tesouro,1691
orçamento,839
impostos,1556
contribuições,929
doações,3115
quantia,930
montante,173
arregalar,291
surpresa,323
espanto,1934
admiração,599
espectador,1752
pupilas,343
face,2697
rosto,2559
olhar,604
vista,28
arremessar,1076
lançamento,219
trajetória,1343
esporte,160
impulso,537
atleta,35
lançador,3586
lança,2066
disco,3361
arrepender,188
remorso,135
culpado,135
arrependido,188
reflexivo,393
escolha,546
passado,91
arriscar,1893
incerteza,912
adrenalina,79
coragem,65
audácia,65
determinação,1889
ousadia,65
investidor,1854
aventureiro,670
empresário,670
reputação,323
arrotar,3560
barulho,792
risos,1325
comentários,192
gás,1287
arruinar,1536
falência,485
ruína,1891
má gestão,611
decisões,1013
erros,3348
decisor,455
arrumar,3368
limpeza,1788
manutenção,764
dona de casa,611
organizador,1684
arrumador,474
articular,410
fala,3166
linguagem,733
frases,1130
juntas,957
sons,2197
movimentos,410
ascender,1288
subida,3210
elevação,1958
aspirar,993
inalação,3235
poeira,2659
aroma,2141
assar,1149
cozinhar,892
culinária,1
forno,2186
lenha,2833
carvão,3034
pão,2383
carne,2318
bolo,1051
legumes,806
frango,3656
assegurar,1824
garantia,2387
documentos,440
contratos,217
garantias,832
assemelhar,597
comparação,754
similaridade,754
igualdade,1798
paralelo,790
analogia,754
objetos,698
situações,832
características,380
formas,1013
assentar,1921
base,1117
fundação,2214
cimento,1890
tijolos,1680
pedras,11
pavimento,9
assinalar,1548
marca,2859
sinalização,128
caneta,1739
marcador,823
símbolo,1155
ponto,28
local,694
data,2120
assinar,2848
documentação,1889
papel,3650
carta,1034
cheque,1797
assistir,55
visualização,181
audiência,779
televisão,779
computador,1726
tela,2323
projetor,567
cinema,568
filme,347
programa,539
espetáculo,1110
associar,597
relação,754
termo,3877
palavra,1238
princípio,1374
assolar,3329
calamidade,960
catástrofe,960
assumir,659
assustar,481
terror,1615
sobressalto,848
atacar,811
ferimento,86
batalha,1445
luta,3587
enfrentamento,213
agressão,290
tática,2950
atar,2883
amarração,592
laço,2017
fio,2542
atender,1138
serviço,110
telefone,545
aterrissar,1071
manobra,348
aterragem,1318
pouso,2904
avião,2056
aeroporto,716
pista,1449
voo,1072
atestar,1274
certificação,411
certificado,411
atingir,573
atirar,506
revólver,718
pistola,718
fuzil,2261
espingarda,718
intruso,866
tiro,1657
bala,2112
disparo,209
atrair,153
charme,337
magnetismo,460
publicidade,2157
sedução,1738
clientes,404
olhares,530
atrapalhar,2548
desordem,213
fluidez,243
atrasar,564
impaciência,1950
pontualidade,995
cronograma,839
entrega,54
atravessar,1279
ponte,2247
rio,3260
fronteira,790
travessia,1279
passagem,1444
migração,1745
transposição,764
atrelar,1961
carroça,1249
cavalo,1505
boi,2418
reboque,1023
carga,2058
trailer,347
atrever,1893
bravura,65
intrepidez,65
corajoso,62
ousado,3880
superação,213
atribuir,597
função,1634
crédito,730
designação,1401
distribuição,1684
delegação,3244
alocação,219
atualizar,948
software,1726
modernização,1906
inovação,1897
atuar,2296
ator,2797
advogado,768
representação,1906
aturar,2711
professor,208
pai,3421
funcionário,444
aumentar,1422
tamanho,1925
quantidade,305
autorizar,578
protocolo,73
deliberação,1889
votação,1260
supervisor,1590
transação,342
auxiliar,279
avaliar,1696
especialista,633
consultor,1590
analista,1590
avançar,1613
avermelhar,1921
vergonha,169
céu,2712
folha,2903
avisar,2945
mensageiro,1684
avistar,2248
turista,116
explorador,670
marinheiro,603
vigia,620
binóculo,567
telescópio,567
radar,3140
sonar,2456
drone,678
patrulha,48
navio,3652
montanha,1041
badalar,986
sino,2899
campainha,675
relógio,2430
gongo,3221
celebração,145
vento,163
martelo,413
baixar,1038
download,726
transferência,1906
atualização,595
internet,726
plataforma,595
balançar,794
oscilação,1085
dança,2948
ritmo,3093
cabelo,1311
balbuciar,701
hesitação,169
insegurança,213
timidez,2902
frase,2555
nome,3294
idoso,2276
aprendiz,208
banhar,2482
higiene,3393
refrescância,1802
sabão,2647
esponja,77
toalha,3220
xampu,1154
basear,2815
opinião,103
bastar,142
requisito,766
suficiência,2387
bater,2267
tampa,2072
batizar,1247
nomeação,1283
iniciação,633
consagração,181
religião,94
padre,3192
padrinho,3978
convertido,224
beber,1713
socialização,772
copo,2175
garrafa,1970
caneca,3475
cálice,3875
suco,2075
vinho,1192
cerveja,606
beijar,2967
intimidade,754
romance,776
afeição,599
demonstrar afeto,1793
expressar amor,1793
mostrar carinho,1793
selar compromisso,1654
iniciar romance,1793
lábios,343
boca,1778
bochecha,563
testa,3741
beirar,1962
aproximação,754
margem,1789
extremidade,790
borda,3789
mar,1707
abismo,3390
precipício,3390
beneficiar,2548
vantagem,323
desenvolver,181
progredir,1613
comunidade,151
sociedade,151
berrar,3369
grito,1272
expressar raiva,1793
manifestar dor,1793
protestar,965
torcedor,2092
blindar,742
imunidade,187
invasão,805
defender,975
resguardar,975
fortalecer,181
imunizar,1895
parede,3065
bloquear,935
interrupção,143
paralisação,143
obstrução,1370
impedimento,143
impedir,1824
interromper,143
obstruir,1370
parar,214
barrar,2481
bolhar,295
formação de bolhas,1054
efervescência,624
misturar,1466
oxigenar,1356
aerar,3246
efervescer,624
aquecimento,908
substância,293
bombar,317
popularidade,323
promover,425
divulgar,987
impulsionar,181
expandir,1624
vídeo,761
postagem,1889
conteúdo,408
botar,1640
colocação,40
arranjo,101
colocar,50
posicionar,181
organizar,420
dispor,333
disposição,322
posicionamento,663
ordenação,1889
coisa,152
item,1767
botecar,200
encontro,1903
descontração,1180
bar,3087
socializar,55
divertir,1562
conversar,55
relaxar,2393
frequentador,785
bradar,3369
gritar,3369
clamar,476
chamar,1679
voz,2642
branquear,235
pureza,240
luminosidade,1082
brilho,1378
clarear,2986
descolorir,727
limpar,486
purificar,941
alvejamento,727
alvejante,1940
brigar,686
discutir,731
lutar,2909
debater,731
conflitar,590
emoções,81
brilhar,586
deslumbramento,1344
reluzir,586
cintilar,586
resplandecer,395
faiscar,586
reflexo,1916
brincar,1562
jogar,1385
divertir-se,1562
entreter,1562
passatempo,1180
lúdico,393
jogos,565
brinquedos,1690
imaginação,322
criatividade,322
brocar,622
perfurar,676
furar,3531
escavar,676
trabalhar,650
construir,536
broca,3203
buscar,1872
procurar,1872
obter,3895
cabecear,324
futebol,820
gol,2611
caber,1837
encaixar,863
comportar,650
conter,88
cair,2499
despencar,1649
tombar,3627
desabar,1649
escorregar,729
colapsar,1647
altura,740
calar,3503
quietude,588
gritaria,1963
tumulto,1963
calcular,221
matemática,3096
estatística,440
engenharia,1606
finanças,661
números,440
fórmulas,257
equações,784
algoritmos,2420
calhar,1289
sorte,3411
acaso,283
coincidência,878
caminhar,643
calçados,630
trilha,3080
caminhante,643
canalizar,181
esforços,2068
cancelar,935
adiamento,143
suspensão,1283
anulação,1751
reserva,2525
candidatar,785
eleição,1260
vaga,1137
candidato,785
concorrente,1897
aspirante,1410
pretendente,1252
cansar,199
fadiga,18
esgotamento,663
cantar,433
cultura,151
melodia,156
canção,156
cantor,2625
músico,2625
coral,3381
solista,898
capacitar,1250
curso,608
aula,108
instrução,633
formação,633
capacidade,322
qualificação,633
aptidão,3864
caprichar,3126
perfeição,1344
esmero,471
detalhes,174
design,3795
captar,950
percepção,3116
antena,520
sensor,830
câmera,1618
capturar,734
apreensão,3828
registro,276
fotografia,681
prisão,154
criminoso,1952
caracterizar,128
descrição,1889
definição,1889
identificação,1889
diferenciação,1906
fenômeno,1931
carregar,1135
caminhão,1023
carrinho,3022
mercadoria,1682
bateria,2158
bagagem,549
casar,2165
matrimônio,1772
casal,3182
noivos,1036
parceiros,1996
cascar,1289
descascamento,1842
preparo,892
cozinha,3764
faca,2869
descascador,1842
utensílio,822
legume,2249
batata,3793
cenoura,1709
banana,717
cativar,153
simpatia,49
encantamento,1344
envolvimento,663
causar,228
origem,953
transtorno,58
cavar,2125
escavação,676
agricultura,979
mineração,1606
pá,2519
enxada,1019
escavadeira,175
buraco,2786
vala,2886
trincheira,790
poço,1781
túnel,1310
caçar,2999
controle populacional,1098
armadilhas,1873
cães,3787
presas,607
caça,1605
alvos,419
pássaros,1986
cear,3489
jantar,3546
ceder,2635
concessão,219
resignação,169
direitos,3998
celebrar,1177
comemoração,145
aniversário,145
centrar,181
cercar,60
cerrar,3514
fechamento,143
portas,3530
janelas,3530
punhos,157
cessar,2730
parada,3472
chacoalhar,794
convocação,1792
chamejar,2714
fumaça,3277
queimaduras,86
combustão,3184
cinzas,538
fogueira,781
churrasco,884
